FSA,BEV,PHEV,TotalEV
P0N,3,5,8
P0P,18,21,39
P0R,10,6,16
P0S,14,3,17
P0T,25,30,55
P0V,5,7,12
P0W,3,1,4
P0X,11,8,19
P1A,17,14,31
P1B,47,49,96
P1C,18,9,27
P1H,63,29,92
P1L,58,35,93
P1P,32,16,48
P2A,46,13,59
P2B,12,12,24
P2N,1,3,4
P3A,41,31,72
P3B,28,23,51
P3C,15,19,34
P3E,105,68,173
P3G,28,22,50
P3L,5,8,13
P3N,8,11,19
P3P,41,42,83
P3S,1,,1
P3Y,14,11,25
P4N,13,18,31
P4P,2,2,4
P4R,6,8,14
P5A,2,4,6
P5E,3,5,8
P5N,9,11,20
P6A,34,33,67
P6B,27,11,38
P6C,9,4,13
P7A,27,37,64
P7B,32,31,63
P7C,19,15,34
P7E,10,21,31
P7G,27,24,51
P7J,9,6,15
P7K,7,6,13
P7L,3,2,5
P8N,7,8,15
P8T,4,6,10
P9A,4,6,10
P9N,18,8,26
